l.p.,czas,pozycja,x_estymowane,y_estymowane,x_prawdziwe,y_prawdziwe
0,2025-09-19T13:47:42.810871,1,0.03302120471250048,17.902782462070004,2.3,0.0
1,2025-09-19T13:47:43.310871,1,0.0377902906065057,18.02012741645657,2.3,0.0
2,2025-09-19T13:47:43.810871,1,0.063340403659074,18.327699664376773,2.3,0.0
3,2025-09-19T13:47:44.310871,1,0.12966637662879885,18.33555353620461,2.3,0.0
4,2025-09-19T13:47:44.810871,1,0.12600682681063136,17.91657681880756,2.3,0.0
5,2025-09-19T13:47:45.310871,1,0.11775906201651687,17.849837964414203,2.3,0.0
6,2025-09-19T13:47:45.810871,1,0.11792505680429331,18.1939154693494,2.3,0.0
7,2025-09-19T13:47:46.310871,1,0.23805168031908916,18.474131931457713,2.3,0.0
8,2025-09-19T13:47:46.810871,1,0.19785065718644135,18.206546128132114,2.3,0.0
9,2025-09-19T13:47:47.310871,1,0.09430251081600938,17.954391372925237,2.3,0.0
10,2025-09-19T13:47:47.810871,1,0.06638773785954773,18.167237726025512,2.3,0.0
11,2025-09-19T13:47:48.310871,1,-0.2568871621054839,9.850591013678665,2.3,0.0
12,2025-09-19T13:47:48.810871,1,-0.33066255765358316,2.317496265558278,2.3,0.0
13,2025-09-19T13:47:49.310871,1,-0.07260220999811375,1.26299527128166,2.3,0.0
14,2025-09-19T13:47:49.810871,1,0.1344644020656165,0.5576818458493449,2.3,0.0
15,2025-09-19T13:47:50.310871,1,0.18885625828181313,0.3540804223778154,2.3,0.0
16,2025-09-19T13:47:50.810871,1,0.17821362392207438,0.29760209804027904,2.3,0.0
17,2025-09-19T13:47:51.310871,1,0.21345818668067437,0.3416929241155072,2.3,0.0
18,2025-09-19T13:47:51.810871,1,0.18686345085913136,0.3099513718460228,2.3,0.0
19,2025-09-19T13:47:52.310871,1,0.07754128895642516,0.18168422439131823,2.3,0.0
20,2025-09-19T13:47:52.810871,2,0.0657291426611815,0.1355573383568457,2.3,0.0
21,2025-09-19T13:47:53.310871,2,0.014658220856606802,0.017458011557443632,2.3,0.0
22,2025-09-19T13:47:53.810871,2,0.004783522020798819,-0.02725615402779959,2.3,0.0
23,2025-09-19T13:47:54.310871,2,0.08389984528536382,0.13443866991508818,2.3,0.0
24,2025-09-19T13:47:54.810871,2,0.08100916053669432,0.20920850811990174,2.3,0.0
25,2025-09-19T13:47:55.310871,2,0.2482465845852533,0.4654177468754579,2.3,0.0
26,2025-09-19T13:47:55.810871,2,0.46211437841063835,0.8580894492750774,2.3,0.0
27,2025-09-19T13:47:56.310871,2,0.37321124803401523,0.66806273188633,2.3,0.0
28,2025-09-19T13:47:56.810871,2,0.45668206881410073,0.8347515748178006,2.3,0.0
29,2025-09-19T13:47:57.310871,2,0.6779378188539643,1.2945675112528745,2.3,0.0
30,2025-09-19T13:47:57.810871,2,0.49054714656244996,0.7887773019886248,2.3,0.0
31,2025-09-19T13:47:58.310871,2,0.5346236556397744,0.7093012722189038,2.3,0.0
32,2025-09-19T13:47:58.810871,2,0.5967611806577773,0.6876342712078894,2.3,0.0
33,2025-09-19T13:47:59.310871,2,0.5132823093390619,0.6934405980855813,2.3,0.0
34,2025-09-19T13:47:59.810871,2,0.446784740397494,0.676345493450543,2.3,0.0
35,2025-09-19T13:48:00.310871,2,0.4044830812619222,0.7172321550071238,2.3,0.0
36,2025-09-19T13:48:00.810871,2,0.2719754972814928,0.7982352543726167,2.3,0.0
37,2025-09-19T13:48:01.310871,2,0.2043884280377071,0.7621916850747017,2.3,0.0
38,2025-09-19T13:48:01.810871,2,0.18101784233981832,0.7467434130037757,2.3,0.0
39,2025-09-19T13:48:02.310871,2,0.045407957757711594,0.7671560376823164,2.3,0.0
40,2025-09-19T13:48:02.810871,2,0.039153646385778305,0.785853421494243,2.3,0.0
41,2025-09-19T13:48:03.310871,2,0.11016253062540089,0.5976741270211815,2.3,0.0
42,2025-09-19T13:48:03.810871,2,-0.011350789838521384,0.6403437550102264,2.3,0.0
43,2025-09-19T13:48:04.310871,2,0.05416919802710259,0.5851494062387907,2.3,0.0
44,2025-09-19T13:48:04.810871,2,0.02137016815976347,0.6025645645018028,2.3,0.0
45,2025-09-19T13:48:05.310871,2,0.04723573444680823,0.5591210888580564,2.3,0.0
46,2025-09-19T13:48:05.810871,2,-0.07974609701991814,0.3987621117688027,2.3,0.0
47,2025-09-19T13:48:06.310871,2,-0.05608217727917003,0.4042840385785205,2.3,0.0
48,2025-09-19T13:48:06.810871,2,-0.1464787071051238,0.29216680532039335,2.3,0.0
49,2025-09-19T13:48:07.310871,2,-0.33255743240740915,0.06628786856096917,2.3,0.0
50,2025-09-19T13:48:07.810871,2,-0.4160964754902809,-0.04986765311799059,2.3,0.0
51,2025-09-19T13:48:08.310871,2,-0.24348708308944475,-0.03425952200546761,2.3,0.0
52,2025-09-19T13:48:08.810871,2,-0.19791012907557048,-0.11405447143280169,2.3,0.0
53,2025-09-19T13:48:09.310871,2,-0.29507507201264815,-0.08211993207409687,2.3,0.0
54,2025-09-19T13:48:09.810871,2,-0.23897008376674736,0.11531193505035837,2.3,0.0
55,2025-09-19T13:48:10.310871,2,-0.41531638541016086,0.10683009008015722,2.3,0.0
56,2025-09-19T13:48:10.810871,2,-0.3234275464244503,0.15498799881657588,2.3,0.0
57,2025-09-19T13:48:11.310871,2,0.15653887217175194,0.2655930345231829,2.3,0.0
58,2025-09-19T13:48:11.810871,2,-2.9012379935043584,1.5200004817735566,2.3,0.0
59,2025-09-19T13:48:12.310871,,,,2.3,0.0
60,2025-09-19T13:48:12.810871,,,,2.3,0.0
61,2025-09-19T13:48:13.310871,,,,2.3,0.0
62,2025-09-19T13:48:13.810871,,,,2.3,0.0
63,2025-09-19T13:48:14.310871,,,,2.3,0.0
64,2025-09-19T13:48:14.810871,,,,2.3,0.0
65,2025-09-19T13:48:15.310871,,,,2.3,0.0
66,2025-09-19T13:48:15.810871,,,,2.3,0.0
67,2025-09-19T13:48:16.310871,,,,2.3,0.0
68,2025-09-19T13:48:16.810871,,,,2.3,0.0
69,2025-09-19T13:48:17.310871,,,,2.3,0.0
70,2025-09-19T13:48:17.810871,,,,2.3,0.0
71,2025-09-19T13:48:18.310871,,,,2.3,0.0
72,2025-09-19T13:48:18.810871,3,-1.537001863476556,4.050093085563055,2.3,0.0
73,2025-09-19T13:48:19.310871,3,-0.7255857345057516,4.614047375003866,2.3,0.0
74,2025-09-19T13:48:19.810871,3,-0.7163835533900746,4.572931110418675,2.3,0.0
75,2025-09-19T13:48:20.310871,3,-0.7082102473503631,4.508689846287406,2.3,0.0
76,2025-09-19T13:48:20.810871,3,-0.627635575262679,4.606650594011194,2.3,0.0
77,2025-09-19T13:48:21.310871,3,-0.6965201944266789,4.574247229025648,2.3,0.0
78,2025-09-19T13:48:21.810871,3,-0.7145253592010233,4.37967508581637,2.3,0.0
79,2025-09-19T13:48:22.310871,3,-0.6225519385898672,4.437367687875513,2.3,0.0
80,2025-09-19T13:48:22.810871,3,-0.5775471617061473,4.49945685506116,2.3,0.0
81,2025-09-19T13:48:23.310871,3,-0.5260129611832473,4.537784265022645,2.3,0.0
82,2025-09-19T13:48:23.810871,3,-0.5909470246149968,4.617006972441852,2.3,0.0
83,2025-09-19T13:48:24.310871,3,-0.7738431547831377,4.555288213147435,2.3,0.0
84,2025-09-19T13:48:24.810871,3,-0.7291073984509177,4.703925137600406,2.3,0.0
85,2025-09-19T13:48:25.310871,3,-0.8694851158704172,4.718122421634938,2.3,0.0
86,2025-09-19T13:48:25.810871,3,-0.9310686750580682,4.820450352619374,2.3,0.0
87,2025-09-19T13:48:26.310871,3,-0.9934971720163742,4.9405710752541285,2.3,0.0
88,2025-09-19T13:48:26.810871,3,-0.9410627546970457,4.860411930274107,2.3,0.0
89,2025-09-19T13:48:27.310871,3,-0.9336804934601866,4.829617376754898,2.3,0.0
90,2025-09-19T13:48:27.810871,3,-0.8073503248028314,4.9044720966567255,2.3,0.0
91,2025-09-19T13:48:28.310871,3,-0.8133017105472592,4.913006394335223,2.3,0.0
92,2025-09-19T13:48:28.810871,3,-0.8428355184119849,5.039512566786927,2.3,0.0
93,2025-09-19T13:48:29.310871,3,-0.8803140317032359,5.137726742369354,2.3,0.0
94,2025-09-19T13:48:29.810871,4,-0.9321997832811282,5.123514320439229,2.3,0.0
95,2025-09-19T13:48:30.310871,4,-0.8658932277870016,5.087016337565872,2.3,0.0
96,2025-09-19T13:48:30.810871,4,-0.8286261370619965,5.303959127846083,2.3,0.0
97,2025-09-19T13:48:31.310871,4,-0.7308293783094713,5.29840788244871,2.3,0.0
98,2025-09-19T13:48:31.810871,4,-0.8723078560001628,5.372876699603411,2.3,0.0
99,2025-09-19T13:48:32.310871,4,-0.8834011712901204,5.141635222292284,2.3,0.0
100,2025-09-19T13:48:32.810871,4,-0.9946416398975805,5.255477747499114,2.3,0.0
101,2025-09-19T13:48:33.310871,4,-1.045268568355142,5.129442482069638,2.3,0.0
102,2025-09-19T13:48:33.810871,4,-1.1014454864488499,5.232954805429405,2.3,0.0
103,2025-09-19T13:48:34.310871,4,-1.0599818984333025,5.249952600951563,2.3,0.0
104,2025-09-19T13:48:34.810871,4,-1.1498553744892266,5.1934507290391245,2.3,0.0
105,2025-09-19T13:48:35.310871,4,-1.132734773685041,5.459482821028092,2.3,0.0
106,2025-09-19T13:48:35.810871,4,-1.0659193938135112,5.420466701575999,2.3,0.0
107,2025-09-19T13:48:36.310871,4,-0.8422649731937383,5.487484058624028,2.3,0.0
108,2025-09-19T13:48:36.810871,4,-0.8707575595598342,5.630546600409517,2.3,0.0
109,2025-09-19T13:48:37.310871,4,-0.5442557937291561,5.711821794899141,2.3,0.0
110,2025-09-19T13:48:37.810871,4,-0.47936753765037976,5.736538231457418,2.3,0.0
111,2025-09-19T13:48:38.310871,4,-0.44702823188617,6.075767676674235,2.3,0.0
112,2025-09-19T13:48:38.810871,4,-0.4886176316915801,5.951821284373327,2.3,0.0
113,2025-09-19T13:48:39.310871,4,-0.5931115832528422,6.08893881218437,2.3,0.0
114,2025-09-19T13:48:39.810871,4,-0.7413042288810439,6.009782563224289,2.3,0.0
115,2025-09-19T13:48:40.310871,4,-0.7684832541033955,6.123740857129799,2.3,0.0
116,2025-09-19T13:48:40.810871,4,-0.7085048320913274,6.120153776493754,2.3,0.0
117,2025-09-19T13:48:41.310871,4,-0.5646078593369772,6.074070511939835,2.3,0.0
118,2025-09-19T13:48:41.810871,4,-0.4877334201127843,5.835354478118609,2.3,0.0
119,2025-09-19T13:48:42.310871,4,-0.5702695538948379,5.748476586932704,2.3,0.0
120,2025-09-19T13:48:42.810871,4,-0.6792533093257883,5.670272114234446,2.3,0.0
121,2025-09-19T13:48:43.310871,4,-0.7754475903775168,5.764433573453309,2.3,0.0
122,2025-09-19T13:48:43.810871,4,-0.7560634885241099,5.932851101947493,2.3,0.0
123,2025-09-19T13:48:44.310871,4,-0.5940638201876322,5.967803024556047,2.3,0.0
124,2025-09-19T13:48:44.810871,4,-0.7889362041215191,5.982680967580658,2.3,0.0
125,2025-09-19T13:48:45.310871,4,-0.9316583787625148,5.525795291602231,2.3,0.0
126,2025-09-19T13:48:45.810871,4,-0.8265183310496583,5.547640843556449,2.3,0.0
127,2025-09-19T13:48:46.310871,4,-0.7587395120431909,5.681380638890616,2.3,0.0
128,2025-09-19T13:48:46.810871,4,-0.6571495973526927,5.666587620801586,2.3,0.0
129,2025-09-19T13:48:47.310871,4,-0.7633592111648144,5.932343113251684,2.3,0.0
